 Cód. Tipo Entidad ; Tipo Entidad ; Cód. Entidad ; Entidad ; Cód. País ; País ; Cód. Provincia ; Provincia ; Cód. Municipio ; Municipio ; Poblacion ; Nº de oficinas ;
BP;BANCOS;0003;BANCO DE DEPOSITOS, S.A.;ES;ESPAÑA;28;Madrid;079;MADRID ; ;1;
BP;BANCOS;0011;ALLFUNDS BANK, S.A.;ES;ESPAÑA;28;Madrid;079;MADRID ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;01;Alava;059;VITORIA-GASTEIZ ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;02;Albacete;003;ALBACETE ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;03;Alicante;014;ALICANTE/ALACANT ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;03;Alicante;018;ALTEA ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;03;Alicante;050;CAMPELLO (EL) ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;03;Alicante;063;DENIA ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;03;Alicante;065;ELCHE/ELX ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;03;Alicante;096;ONIL ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;03;Alicante;099;ORIHUELA ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;03;Alicante;128;TEULADA ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;03;Alicante;133;TORREVIEJA ; ;2;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;03;Alicante;902;PILAR DE LA HORADADA ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;04;Almería;013;ALMERIA ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;05;Ávila;019;AVILA ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;06;Badajoz;015;BADAJOZ ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;07;Islas Baleares;003;ALCUDIA ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;07;Islas Baleares;005;ANDRAITX ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;07;Islas Baleares;011;CALVIA ; ;2;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;07;Islas Baleares;026;IBIZA (EIVISSA) ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;07;Islas Baleares;032;MAHON ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;07;Islas Baleares;040;PALMA DE MALLORCA ; ;2;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;08;Barcelona;015;BADALONA ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;08;Barcelona;019;BARCELONA ; ;16;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;08;Barcelona;073;CORNELLA DE LLOBREGAT ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;08;Barcelona;096;GRANOLLERS ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;08;Barcelona;101;HOSPITALET DE LLOBREGAT(L' ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;08;Barcelona;113;MANRESA ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;08;Barcelona;114;MARTORELL ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;08;Barcelona;121;MATARO ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;08;Barcelona;123;MOLINS DE REI ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;08;Barcelona;169;PRAT DE LLOBREGAT (EL) ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;08;Barcelona;184;RUBI ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;08;Barcelona;187;SABADELL ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;08;Barcelona;200;SANT BOI DE LLOBREGAT ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;08;Barcelona;205;SANT CUGAT DEL VALLES ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;08;Barcelona;221;SANT JUST DESVERN ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;08;Barcelona;266;CERDANYOLA DEL VALLES ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;08;Barcelona;279;TERRASSA ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;08;Barcelona;305;VILAFRANCA DEL PENEDES ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;08;Barcelona;307;VILANOVA I LA GELTRU ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;09;Burgos;059;BURGOS ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;10;Cáceres;037;CACERES ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;11;Cádiz;004;ALGECIRAS ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;11;Cádiz;012;CADIZ ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;11;Cádiz;020;JEREZ DE LA FRONTERA ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;12;Castellón;040;CASTELLON DE LA PLANA ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;13;Ciudad Real;034;CIUDAD REAL ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;14;Córdoba;021;CORDOBA ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;15;A Coruña;030;CORUÑA (A) ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;15;A Coruña;078;SANTIAGO DE COMPOSTELA ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;16;Cuenca;078;CUENCA ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;17;Girona;023;BLANES ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;17;Girona;066;FIGUERES ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;17;Girona;079;GIRONA ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;17;Girona;117;PALAFRUGELL ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;17;Girona;152;ROSES (ROSAS) ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;17;Girona;160;SANT FELIU DE GUIXOLS ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;18;Granada;087;GRANADA ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;19;Guadalajara;130;GUADALAJARA ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;20;Guipúzcoa;069;SAN SEBASTIAN/DONOSTIA ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;21;Huelva;041;HUELVA ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;23;Jaén;050;JAEN ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;24;León;089;LEON ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;25;Lleida;120;LLEIDA ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;26;La Rioja;089;LOGROÑO ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;27;Lugo;028;LUGO ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;28;Madrid;005;ALCALA DE HENARES ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;28;Madrid;006;ALCOBENDAS ; ;2;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;28;Madrid;007;ALCORCON ; ;2;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;28;Madrid;013;ARANJUEZ ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;28;Madrid;014;ARGANDA DEL REY ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;28;Madrid;022;BOADILLA DEL MONTE ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;28;Madrid;058;FUENLABRADA ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;28;Madrid;065;GETAFE ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;28;Madrid;074;LEGANES ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;28;Madrid;079;MADRID ; ;24;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;28;Madrid;080;MAJADAHONDA ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;28;Madrid;092;MOSTOLES ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;28;Madrid;106;PARLA ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;28;Madrid;113;PINTO ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;28;Madrid;115;POZUELO DE ALARCON ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;28;Madrid;123;RIVAS-VACIAMADRID ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;28;Madrid;127;ROZAS DE MADRID (LAS) ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;28;Madrid;148;TORREJON DE ARDOZ ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;28;Madrid;903;TRES CANTOS ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;29;Málaga;054;FUENGIROLA ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;29;Málaga;067;MALAGA ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;29;Málaga;069;MARBELLA ; ;2;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;29;Málaga;094;VELEZ-MALAGA ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;30;Murcia;016;CARTAGENA ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;30;Murcia;030;MURCIA ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;31;Navarra;201;PAMPLONA/IRUÑA ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;32;Ourense;054;OURENSE ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;33;Asturias;024;GIJON ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;33;Asturias;044;OVIEDO ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;35;Las Palmas;016;PALMAS DE GRAN CANARIA LAS ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;35;Las Palmas;019;SAN BARTOLOME DE TIRAJANA ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;36;Pontevedra;038;PONTEVEDRA ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;36;Pontevedra;057;VIGO ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;37;Salamanca;274;SALAMANCA ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;38;Sta Cruz de Tenerife;006;ARONA ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;38;Sta Cruz de Tenerife;038;SANTA CRUZ DE TENERIFE ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;39;Cantabria;075;SANTANDER ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;40;Segovia;194;SEGOVIA ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;41;Sevilla;038;DOS HERMANAS ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;41;Sevilla;091;SEVILLA ;SEVILLA;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;41;Sevilla;091;SEVILLA ; ;3;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;43;Tarragona;123;REUS ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;43;Tarragona;148;TARRAGONA ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;43;Tarragona;905;SALOU ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;45;Toledo;165;TALAVERA DE LA REINA ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;45;Toledo;168;TOLEDO ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;46;Valencia;094;CATARROJA ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;46;Valencia;131;GANDIA ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;46;Valencia;190;PATERNA ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;46;Valencia;250;VALENCIA ;VALENCIA;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;46;Valencia;250;VALENCIA ; ;4;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;47;Valladolid;186;VALLADOLID ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;48;Vizcaya;020;BILBAO ; ;2;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;48;Vizcaya;044;GUECHO/GETXO ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;49;Zamora;275;ZAMORA ; ;1;
BP;BANCOS;0019;DEUTSCHE BANK, S.A.E.;ES;ESPAÑA;50;Zaragoza;297;ZARAGOZA ; ;3;
BP;BANCOS;0036;SANTANDER INVESTMENT, S.A.;ES;ESPAÑA;28;Madrid;022;BOADILLA DEL MONTE ; ;1;
BP;BANCOS;0038;SANTANDER SECURITIES SERVICES, S.A.;ES;ESPAÑA;28;Madrid;079;MADRID ; ;1;
BP;BANCOS;0049;BANCO SANTANDER,SA;ES;ESPAÑA;01;Alava;002;AMURRIO ; ;1;
BP;BANCOS;0049;BANCO SANTANDER,SA;ES;ESPAÑA;01;Alava;031;LAGUARDIA ; ;1;
BP;BANCOS;0049;BANCO SANTANDER,SA;ES;ESPAÑA;01;Alava;033;LAPUEBLA DE LABARCA ; ;1;
BP;BANCOS;0049;BANCO SANTANDER,SA;ES;ESPAÑA;01;Alava;036;LLODIO ; ;1;
BP;BANCOS;0049;BANCO SANTANDER,SA;ES;ESPAÑA;01;Alava;043;OYON/OION ;OION;1;
BP;BANCOS;0049;BANCO SANTANDER,SA;ES;ESPAÑA;01;Alava;051;SALVATIERRA ;SALVATIERRA-AGURAIN;1;
BP;BANCOS;0049;BANCO SANTANDER,SA;ES;ESPAÑA;01;Alava;059;VITORIA-GASTEIZ ; ;12;
BP;BANCOS;0049;BANCO SANTANDER,SA;ES;ESPAÑA;02;Albacete;003;ALBACETE ;ALBACETE;1;
BP;BANCOS;0049;BANCO SANTANDER,SA;ES;ESPAÑA;02;Albacete;003;ALBACETE ; ;8;
BP;BANCOS;0049;BANCO SANTANDER,SA;ES;ESPAÑA;02;Albacete;009;ALMANSA ; ;1;
BP;BANCOS;0049;BANCO SANTANDER,SA;ES;ESPAÑA;02;Albacete;025;CAUDETE ; ;1;
BP;BANCOS;0049;BANCO SANTANDER,SA;ES;ESPAÑA;02;Albacete;037;HELLIN ; ;1;
BP;BANCOS;0049;BANCO SANTANDER,SA;ES;ESPAÑA;02;Albacete;069;RODA (LA) ;LA RODA;1;
BP;BANCOS;0049;BANCO SANTANDER,SA;ES;ESPAÑA;02;Albacete;081;VILLARROBLEDO ; ;1;
BP;BANCOS;0049;BANCO SANTANDER,SA;ES;ESPAÑA;03;Alicante;005;ALBATERA ; ;1;
BP;BANCOS;0049;BANCO SANTANDER,SA;ES;ESPAÑA;03;Alicante;009;ALCOY/ALCOI ;ALCOY;4;
BP;BANCOS;0049;BANCO SANTANDER,SA;ES;ESPAÑA;03;Alicante;009;ALCOY/ALCOI ; ;1;
BP;BANCOS;0049;BANCO SANTANDER,SA;ES;ESPAÑA;03;Alicante;011;ALFAZ DEL PI/L'ALFAS ;L'ALFAS DEL PI;1;
BP;BANCOS;0049;BANCO SANTANDER,SA;ES;ESPAÑA;03;Alicante;014;ALICANTE/ALACANT ;ALICANTE;12;
BP;BANCOS;0049;BANCO SANTANDER,SA;ES;ESPAÑA;03;Alicante;014;ALICANTE/ALACANT ; ;9;
BP;BANCOS;0049;BANCO SANTANDER,SA;ES;ESPAÑA;03;Alicante;015;ALMORADI ; ;1;
BP;BANCOS;0049;BANCO SANTANDER,SA;ES;ESPAÑA;03;Alicante;018;ALTEA ; ;2;
BP;BANCOS;0049;BANCO SANTANDER,SA;ES;ESPAÑA;03;Alicante;019;ASPE ; ;1;
BP;BANCOS;0049;BANCO SANTANDER,SA;ES;ESPAÑA;03;Alicante;021;BANYERES DE MARIOLA/BAÑERES ; ;1;
BP;BANCOS;0049;BANCO SANTANDER,SA;ES;ESPAÑA;03;Alicante;031;BENIDORM ;BENIDORM;1;
BP;BANCOS;0049;BANCO SANTANDER,SA;ES;ESPAÑA;03;Alicante;031;BENIDORM ; ;5;
BP;BANCOS;0049;BANCO SANTANDER,SA;ES;ESPAÑA;03;Alicante;041;BENISSA ; ;1;
BP;BANCOS;0049;BANCO SANTANDER,SA;ES;ESPAÑA;03;Alicante;047;CALPE/CALP ; ;1;
BP;BANCOS;0049;BANCO SANTANDER,SA;ES;ESPAÑA;03;Alicante;049;CALLOSA DE SEGURA ; ;1;
BP;BANCOS;0049;BANCO SANTANDER,SA;ES;ESPAÑA;03;Alicante;050;CAMPELLO (EL) ;EL CAMPELLO;1;
BP;BANCOS;0049;BANCO SANTANDER,SA;ES;ESPAÑA;03;Alicante;056;COCENTAINA ; ;1;
BP;BANCOS;0049;BANCO SANTANDER,SA;ES;ESPAÑA;03;Alicante;059;CREVILLENTE ;CREVILLENT;1;
BP;BANCOS;0049;BANCO SANTANDER,SA;ES;ESPAÑA;03;Alicante;063;DENIA ; ;1;
BP;BANCOS;0049;BANCO SANTANDER,SA;ES;ESPAÑA;03;Alicante;064;DOLORES ; ;1;
BP;BANCOS;0049;BANCO SANTANDER,SA;ES;ESPAÑA;03;Alicante;065;ELCHE/ELX ;ELCHE;7;
BP;BANCOS;0049;BANCO SANTANDER,SA;ES;ESPAÑA;03;Alicante;065;ELCHE/ELX ;ELX-ELCHE;1;
BP;BANCOS;0049;BANCO SANTANDER,SA;ES;ESPAÑA;03;Alicante;065;ELCHE/ELX ; ;5;
BP;BANCOS;0049;BANCO SANTANDER,SA;ES;ESPAÑA;03;Alicante;066;ELDA ; ;1;
BP;BANCOS;0049;BANCO SANTANDER,SA;ES;ESPAÑA;03;Alicante;071;GATA DE GORGOS ; ;1;
BP;BANCOS;0049;BANCO SANTANDER,SA;ES;ESPAÑA;03;Alicante;076;GUARDAMAR DEL SEGURA ; ;1;
BP;BANCOS;0049;BANCO SANTANDER,SA;ES;ESPAÑA;03;Alicante;079;IBI ; ;2;
BP;BANCOS;0049;BANCO SANTANDER,SA;ES;ESPAÑA;03;Alicante;082;JAVEA/XABIA ;JAVEA-XABIA;1;
BP;BANCOS;0049;BANCO SANTANDER,SA;ES;ESPAÑA;03;Alicante;083;JIJONA/XIXONA ;JIJONA-XIXONA;1;
BP;BANCOS;0049;BANCO SANTANDER,SA;ES;ESPAÑA;03;Alicante;088;MONFORTE DEL CID ; ;1;
BP;BANCOS;0049;BANCO SANTANDER,SA;ES;ESPAÑA;03;Alicante;089;MONOVAR/MONOVER ; ;1;
BP;BANCOS;0049;BANCO SANTANDER,SA;ES;ESPAÑA;03;Alicante;092;MURO DE ALCOY ; ;1;
BP;BANCOS;0049;BANCO SANTANDER,SA;ES;ESPAÑA;03;Alicante;093;NOVELDA ;NOVELDA;1;
BP;BANCOS;0049;BANCO SANTANDER,SA;ES;ESPAÑA;03;Alicante;093;NOVELDA ; ;1;
BP;BANCOS;0049;BANCO SANTANDER,SA;ES;ESPAÑA;03;Alicante;094;NUCIA (LA) ;LA NUCIA;1;
BP;BANCOS;0049;BANCO SANTANDER,SA;ES;ESPAÑA;03;Alicante;095;ONDARA ; ;1;
BP;BANCOS;0049;BANCO SANTANDER,SA;ES;ESPAÑA;03;Alicante;099;ORIHUELA ; ;2;
BP;BANCOS;0049;BANCO SANTANDER,SA;ES;ESPAÑA;03;Alicante;101;PEDREGUER ; ;1;
BP;BANCOS;0049;BANCO SANTANDER,SA;ES;ESPAÑA;03;Alicante;102;PEGO ; ;1;
BP;BANCOS;0049;BANCO SANTANDER,SA;ES;ESPAÑA;03;Alicante;104;PETRER ; ;1;
BP;BANCOS;0049;BANCO SANTANDER,SA;ES;ESPAÑA;03;Alicante;113;ROJALES ; ;1;
BP;BANCOS;0049;BANCO SANTANDER,SA;ES;ESPAÑA;03;Alicante;118;SAN FULGENCIO ; ;1;
BP;BANCOS;0049;BANCO SANTANDER,SA;ES;ESPAÑA;03;Alicante;119;SAN JUAN DE ALICANTE ;SANT JOAN D'ALACANT;1;
BP;BANCOS;0049;BANCO SANTANDER,SA;ES;ESPAÑA;03;Alicante;121;SANTA POLA ; ;2;
BP;BANCOS;0049;BANCO SANTANDER,SA;ES;ESPAÑA;03;Alicante;122;SAN VICENTE DEL RASPEIG ;SAN VICENTE RASPEIG;2;
BP;BANCOS;0049;BANCO SANTANDER,SA;ES;ESPAÑA;03;Alicante;122;SAN VICENTE DEL RASPEIG ; ;1;
BP;BANCOS;0049;BANCO SANTANDER,SA;ES;ESPAÑA;03;Alicante;123;SAX ; ;1;
BP;BANCOS;0049;BANCO SANTANDER,SA;ES;ESPAÑA;03;Alicante;128;TEULADA ; ;2;
BP;BANCOS;0049;BANCO SANTANDER,SA;ES;ESPAÑA;03;Alicante;133;TORREVIEJA ; ;5;
BP;BANCOS;0049;BANCO SANTANDER,SA;ES;ESPAÑA;03;Alicante;139;VILLAJOYOSA/VILAJOIOSA(LA) ; ;1;
BP;BANCOS;0049;BANCO SANTANDER,SA;ES;ESPAÑA;03;Alicante;140;VILLENA ; ;1;
BP;BANCOS;0049;BANCO SANTANDER,SA;ES;ESPAÑA;03;Alicante;902;PILAR DE LA HORADADA ;- PILAR DE LA ORADADA;1;
BP;BANCOS;0049;BANCO SANTANDER,SA;ES;ESPAÑA;04;Almería;003;ADRA ; ;1;
BP;BANCOS;0049;BANCO SANTANDER,SA;ES;ESPAÑA;04;Almería;006;ALBOX ; ;1;
BP;BANCOS;0049;BANCO SANTANDER,SA;ES;ESPAÑA;04;Almería;011;ALHAMA DE ALMERIA ; ;1;
BP;BANCOS;0049;BANCO SANTANDER,SA;ES;ESPAÑA;04;Almería;012;ALICUN ; ;1;
BP;BANCOS;0049;BANCO SANTANDER,SA;ES;ESPAÑA;04;Almería;013;ALMERIA ; ;12;
BP;BANCOS;0049;BANCO SANTANDER,SA;ES;ESPAÑA;04;Almería;029;BERJA ; ;1;
BP;BANCOS;0049;BANCO SANTANDER,SA;ES;ESPAÑA;04;Almería;035;CUEVAS DEL ALMANZORA ; ;1;
BP;BANCOS;0049;BANCO SANTANDER,SA;ES;ESPAÑA;04;Almería;038;DALIAS ; ;1;
BP;BANCOS;0049;BANCO SANTANDER,SA;ES;ESPAÑA;04;Almería;049;GARRUCHA ; ;1;
BP;BANCOS;0049;BANCO SANTANDER,SA;ES;ESPAÑA;04;Almería;052;HUERCAL DE ALMERIA ; ;1;
BP;BANCOS;0049;BANCO SANTANDER,SA;ES;ESPAÑA;04;Almería;053;HUERCAL-OVERA ; ;1;
BP;BANCOS;0049;BANCO SANTANDER,SA;ES;ESPAÑA;04;Almería;062;MACAEL ; ;1;
BP;BANCOS;0049;BANCO SANTANDER,SA;ES;ESPAÑA;04;Almería;064;MOJACAR ; ;1;
BP;BANCOS;0049;BANCO SANTANDER,SA;ES;ESPAÑA;04;Almería;066;NIJAR ;CAMPOHERMOSO;1;
BP;BANCOS;0049;BANCO SANTANDER,SA;ES;ESPAÑA;04;Almería;066;NIJAR ; ;1;
BP;BANCOS;0049;BANCO SANTANDER,SA;ES;ESPAÑA;04;Almería;069;OLULA DEL RIO ; ;1;
BP;BANCOS;0049;BANCO SANTANDER,SA;ES;ESPAÑA;04;Almería;075;PULPI ; ;1;
BP;BANCOS;0049;BANCO SANTANDER,SA;ES;ESPAÑA;04;Almería;079;ROQUETAS DE MAR ;AGUADULCE;1;
BP;BANCOS;0049;BANCO SANTANDER,SA;ES;ESPAÑA;04;Almería;079;ROQUETAS DE MAR ; ;1;
BP;BANCOS;0049;BANCO SANTANDER,SA;ES;ESPAÑA;04;Almería;099;VELEZ-RUBIO ; ;1;
